Fintech,Consumer,Discretion,Utility,Energy,Information,Finance,Communication,Material,Industry,Health,Reit,Innovation,,,
PYPL,PG,AMZN,NEE,XOM,AAPL,JPM,FB,LIN,BA,JNJ,SPG,UPLD,,,
SSNC,KO,HD,DUK,CVX,MSFT,BAC,GOOG,DWDP,UNP,PFE,PLD,TEAM,,,
INTU,PEP,MCD,D,COP,V,BRK.B,GOOGL,ECL,HON,UNH,PSA,PAYC,,,
FISV,WMT,NKE,SO,EOG,CSCO,WFC,VZ,APD,UTX,MRK,WELL,NOW,,,
TEMN:VTX,PM,SBUX,EXC,SLB,MA,C,CMCSA,DOW,MMM,ABT,EQR,KL,,,
SQ,COST,LOW,AEP,OXY,INTC,AXP,DIS,SHW,GE,MDT,AVB,VEEV,,,
FIS,MO,BKNG,SRE,KMI,ORCL,USB,NFLX,LYB,LMT,ABBV,DLR,CDNS,,,
GWRE,MDLZ,TJX,PEG,PSX,ADBE,GS,T,PPG,CAT,AMGN,VTR,ULTA,,,
FDC,CL,GM,XEL,APC,AVGO,CB,CHTR,NEM,UPS,TMO,BXP,ATHM,,,
BKI,WBA,F,ED,MPC,PYPL,CME,TMUS,BLL,CSX,LLY,ESS,PLNT,,,
WDI:DAX,KMB,MAR,WEC,VLO,IBM,PNC,ATVI,NUE,NSC,GILD,ARE,PYPL,,,
XRO:ASX,SYY,TGT,DTE,WMB,CRM,MS,EA,IP,RTN,DHR,HCP,CMCSA,,,
TREE,EL,ROST,ES,OKE,ACN,SCHW,TWTR,VMC,NOC,BMY,HST,ESNT,,,
HQY,STZ,EBAY,PPL,PXD,TXN,BLK,LBTYK,FCX,DE,CVS,EXR,FTNT,,,
SIM:CPH,GIS,DG,FE,CXO,QCOM,SPGI,LBRDA,CE,ITW,ANTM,MAA,CDW,,,
APT:ASX,MNST,YUM,AWK,HAL,NVDA,MMC,ZAYO,MLM,WM,CELG,UDR,LULU,,,
PAGS,ADM,VFC,EIX,HES,ADP,BK,DISCK,IFF,FDX,SYK,VNO,TWTR,,,
ENV,TSN,TSLA,AEE,FANG,INTU,ICE,IAC,FMC,GD,BDX,REG,PANW,,,
VIRT,KR,ORLY,ETR,DVN,NOW,AIG,OMC,EMN,EMR,CI,DRE,EDU,,,
EPAY,CHD,HLT,CMS,LNG,MU,AON,CBS,CF,DAL,ISRG,SUI,UBNT,,,
IRE:AUX,KHC,LVS,EVRG,MRO,ADI,PGR,CTL,WRK,ROP,BSX,ELS,EPRT,,,
BCOR,HSY,AZO,CNP,APA,AMAT,COF,FOXA,PKG,JCI,ZTS,CPT,BAH,,,
LC,CLX,DLTR,ATO,NBL,FIS,PRU,S,AVY,ETN,AGN,FRT,HDB,,,
HYQ:XETRA,MKC,MELI,LNT,COG,ADSK,MET,TTWO,MOS,IR,ILMN,INVH,INTU,,,
FDP:LSE,K,CCL,NRG,BHGE,WP,AFL,Z,CCK,LUV,BIIB,AIV,RCL,,,
YRD,BF.B,RCL,AES,FTI:PAR,CTSH,BBT,FWONK,RPM,CMI,VRTX,KRC,ALXN,,,
LEON:SWX,CAG,APTV,PNW,NOV,FISV,TRV,VIAB,ALB,FTV,BAX,KIM,FND,,,
PPH:NZC,SJM,ULTA,NI,TRGP,RHT,ALL,LYV,STLD,WCN,EW,SLG,LPLA,,,
ALFA:LSE,HRL,CMG,UGI,HFC,TEL,MCO,SIRI,ATR,PCAR,HCA,LPT,OLED,,,
MITK,TAP,BBY,OGE,XEC,LRCX,STI,IPG,SEE,PH,HUM,DEI,KEYS,,,
